Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
ACSB  -117.444894    33.274266   -38.719000    17.733000    -2.368000     0.164000     0.192000     0.654000
AGMT  -116.429381    34.594281   -18.508000    -3.156000    -0.304000     0.097000     0.116000     0.381000
ALAM  -115.158461    37.357957   -15.642000    -9.062000    -0.252000     0.165000     0.191000     0.710000
ALPP  -118.694803    34.824491   -27.909000     6.464000     1.225000     0.045000     0.054000     0.186000
ANA1  -119.363475    34.015008   -40.778000    22.218000    -0.733000     0.161000     0.189000     0.642000
AOA1  -118.830323    34.157446   -39.663000    18.656000    -1.692000     0.315000     0.344000     1.379000
APEX  -114.931791    36.319118   -14.955000    -8.524000     1.120000     0.224000     0.271000     0.992000
AR27  -117.324933    33.341850   -38.170000    17.067000    -2.235000     0.162000     0.193000     0.646000
AR53  -117.476508    33.381136   -38.148000    17.381000    -2.116000     0.163000     0.190000     0.645000
ARGU  -117.521947    36.050010   -18.906000    -3.851000    -0.098000     0.156000     0.187000     0.692000
ARM1  -118.910427    35.201252   -28.472000     2.154000   -17.680000     0.426000     0.531000     1.865000
ARM2  -118.910562    35.201259   -26.344000     2.049000   -20.460000     0.719000     0.865000     2.926000
ASHM  -116.139379    36.345920   -15.205000    -8.360000    -0.292000     0.228000     0.280000     0.924000
AVRY  -117.153975    34.468302   -23.725000     2.897000     0.522000     0.070000     0.082000     0.281000
AZRY  -116.629701    33.540074   -31.606000    11.450000     0.240000     0.115000     0.135000     0.473000
AZU1  -117.896492    34.126020   -36.046000    11.569000    -2.068000     0.129000     0.141000     0.591000
BALD  -118.901395    37.783427   -19.400000     1.671000     4.053000     0.241000     0.283000     0.925000
BAMO  -117.204569    40.412749   -16.391000    -9.416000     0.003000     0.065000     0.084000     0.257000
BAR1  -119.029741    33.480454   -41.705000    22.529000    -0.928000     0.118000     0.135000     0.526000
BATM  -116.511555    36.403456   -15.295000    -8.475000    -0.648000     0.220000     0.269000     0.903000
BBDM  -119.981519    34.582200   -40.626000    19.610000     0.568000     0.259000     0.319000     1.107000
BBRY  -116.884245    34.264279   -23.250000     4.003000     1.342000     0.126000     0.151000     0.596000
BCWR  -119.405854    34.920463   -33.784000     9.961000     0.396000     0.089000     0.107000     0.362000
BEAT  -116.621131    37.039930   -15.480000    -8.625000    -0.202000     0.173000     0.211000     0.717000
BEMT  -115.998193    34.000533   -17.306000    -5.153000    -0.326000     0.113000     0.134000     0.449000
BEPK  -118.074097    35.878388   -20.970000    -0.208000     0.601000     0.159000     0.193000     0.670000
BFLD  -119.045332    35.413084   -25.255000     2.845000    -6.604000     0.386000     0.460000     1.499000
BGIS  -118.159702    33.967120   -38.127000    15.130000    -5.453000     0.177000     0.204000     0.769000
